Items,Time
5,594
1,401
6,590
5,418
5,320
4,418
3,192
7,437
4,340
3,420
7,565
6,407
2,259
6,373
3,96
8,898
9,803
5,745
9,592
2,326
6,495
2,512
5,433
2,160
2,287
6,606
3,254
2,331
3,388
4,507
5,536
3,206
7,532
5,571
6,403
4,632
8,733
6,476
2,387
7,658
10,999
6,538
9,1012
4,349
6,300
5,277
5,269
8,787
6,756
10,824
6,385
2,285
4,468
9,726
5,492
1,163
3,187
2,274
10,817
10,746
8,706
6,776
8,944
3,435
4,300
6,407
4,447
1,157
10,886
5,333
6,409
4,252
3,427
4,556
8,676
8,757
4,500
1,63
8,733
3,439
6,452
1,311
7,607
4,436
5,481
5,271
4,442
6,549
10,813
2,199
4,424
1,155
8,625
7,638
3,391
5,455
7,523
7,731
3,233
9,865
8,700
2,128
9,632
8,588
8,705
6,274
3,352
9,954
6,551
4,265
3,137
9,845
5,502
6,549
6,676
8,673
7,573
3,306
6,552
5,563
6,607
7,627
3,208
3,193
2,355
3,200
1,157
7,488
4,637
3,205
2,289
4,236
3,684
4,193
5,534
6,398
9,866
10,723
1,125
3,123
7,570
2,262
9,995
3,27
8,756
7,630
8,660
1,140
3,359
7,659
2,202
1,71
4,358
6,637
1,70
2,129
1,183
5,474
7,683
3,264
9,546
5,553
7,721
4,500
7,638
10,949
5,438
3,162
5,436
5,441
6,637
6,626
1,111
2,212
5,469
7,674
8,886
8,657
6,667
10,682
4,305
5,696
8,741
9,787
5,517
9,742
5,475
7,695
1,172
1,201
9,766
2,258
7,544
4,419
3,268
4,457
9,858
6,473
9,754
7,642
6,564
6,626
3,295
1,62
5,477
6,554
9,878
7,785
9,995
9,628
9,779
8,734
2,330
4,477
3,301
9,873
8,660
4,354
6,597
8,608
8,943
3,197
8,546
8,772
1,-56
2,168
5,442
3,456
9,1155
7,693
7,514
8,741
4,464
3,200
7,645
5,635
9,892
7,522
4,360
9,578
4,370
3,203
8,884
5,305
3,145
7,675
10,936
3,257
8,748
8,784
2,317
9,805
5,546
2,49
6,632
4,376
3,172
2,152
3,253
5,393
7,595
2,158
7,496
2,472
3,315
7,932
9,762
10,1060
7,608
5,680
2,315
6,645
3,253
6,547
6,750
8,519
4,298
10,723
10,767
8,825
7,754
8,660
9,923
10,757
9,700
7,630
2,244
7,587
4,275
2,331
9,1006
8,707
6,534
5,352
5,503
3,225
5,460
5,650
1,215
9,716
1,260
4,211
2,357
3,323
9,712
4,377
8,572
2,473
3,395
9,673
9,729
4,373
10,788
7,663
6,558
4,247
4,464
10,1045
7,692
6,610
1,112
3,263
9,875
6,448
4,213
1,247
3,251
3,355
3,281
4,445
3,362
2,250
2,178
5,606
2,149
9,875
3,219
5,494
5,346
4,522
4,419
3,210
4,134
2,141
7,806
7,540
4,488
9,766
4,386
6,466
6,561
4,503
9,920
9,829
9,638
10,857
1,4
5,401
9,876
2,110
3,377
6,474
7,811
4,364
4,421
8,829
1,229
8,792
5,245
7,706
7,463
2,125
9,509
8,701
4,330
3,247
2,61
4,340
7,572
8,710
4,471
3,34
4,368
10,826
2,17
2,199
7,814
2,278
3,261
8,813
4,396
6,419
6,511
3,322
3,317
4,387
9,780
1,151
2,136
4,340
3,233
6,609
6,517
5,429
4,444
6,801
8,697
8,886
6,464
8,757
1,270
2,384
8,945
4,365
4,384
6,725
4,571
9,712
4,427
9,881
6,734
9,703
5,543
10,585
6,690
1,374
8,558
9,753
2,45
10,800
6,624
8,760
3,357
9,672
7,517
6,768
10,881
6,503
6,566
1,106
6,566
8,601
4,334
7,457
6,770
3,382
6,622
5,599
4,377
7,503
2,249
4,501
5,528
10,816
7,478
7,700
2,307
5,457
4,389
9,823
5,410
9,599
7,613
9,741
1,183
9,790
10,880
2,113
2,245
4,625
6,564
6,606
5,569
9,860
6,593
9,647
6,471
3,465
10,894
10,907
5,706
8,502
7,740
3,358
6,338
7,551
6,633
6,459
6,489
7,740
8,691
2,231
9,799
5,491
7,694
4,695
1,229
7,550
4,459
6,583
3,737
3,123
4,445
9,797
9,1010
10,744
5,302
8,757
3,368
8,746
5,532
9,762
3,409
8,764
2,136
9,945
5,353
2,54
4,322
7,651
5,465
3,279
3,364
7,615
7,517
2,358
8,723
2,377
3,341
1,211
6,702
9,549
9,965
5,493
2,323
5,439
4,358
4,353
3,190
10,840
5,653
1,298
5,677
7,633
8,725
8,647
7,415
3,260
4,312
5,587
2,355
5,511
2,111
2,136
9,922
3,307
5,613
7,551
9,953
4,330
3,219
9,823
4,280
3,210
2,417
5,555
3,257
4,406
4,525
7,543
5,182
7,916
4,188
4,326
10,618
3,54
8,746
7,502
7,697
2,213
1,126
8,768
2,282
3,485
10,708
10,767
9,905
6,666
5,415
5,336
4,394
10,498
8,544
10,1011
4,210
6,816
7,660
4,458
6,898
3,395
4,336
2,175
7,540
4,141
5,501
4,426
1,98
9,909
8,607
4,169
9,673
7,634
10,911
5,706
2,172
2,291
8,813
6,639
3,334
6,407
6,483
9,1033
1,198
2,217
5,326
2,271
10,1076
3,213
7,486
5,458
8,656
1,97
4,636
5,577
2,49
7,602
6,640
8,710
5,559
4,216
4,431
3,303
9,892
8,718
4,309
5,514
2,264
6,648
8,510
3,243
5,434
7,599
5,417
6,552
3,441
8,928
2,354
5,547
4,-42
2,134
9,831
3,172
5,615
7,507
3,352
5,436
6,558
5,290
4,366
3,221
9,673
6,315
7,770
6,395
4,431
5,470
8,796
9,778
9,821
3,140
4,704
2,343
10,980
7,332
7,569
5,361
3,332
4,333
4,417
6,535
8,828
8,878
4,241
3,186
8,553
5,536
3,251
6,523
2,59
2,241
1,134
3,294
5,439
2,75
2,329
5,492
9,826
1,48
3,456
9,696
7,541
8,636
9,668
3,382
8,619
3,197
9,802
10,801
2,250
8,659
1,191
6,373
5,375
6,656
8,790
9,559
6,545
2,178
9,941
2,47
8,762
2,319
9,633
7,519
4,470
9,742
3,369
3,308
4,206
5,448
3,338
9,744
5,578
10,677
3,311
5,438
8,626
10,688
5,220
5,331
9,805
5,381
5,438
10,808
5,442
2,250
9,927
6,323
4,427
9,600
1,405
10,721
2,149
2,290
9,877
5,596
3,433
10,822
4,615
9,751
5,437
4,509
6,277
9,730
10,831
7,745
4,321
9,873
9,693
6,652
7,751
9,718
7,606
7,592
4,370
6,510
3,476
2,273
3,379
5,280
4,385
7,784
4,432
6,445
4,338
2,296
7,644
3,48
5,387
6,591
7,446
5,441
4,397
9,1060
7,785
3,364
8,491
6,566
5,272
2,81
3,432
2,119
7,731
8,711
5,568
1,153
3,243
10,1018
9,879
5,475
2,243
5,533
5,445
1,225
7,659
7,421
6,373
8,656
8,986
3,464
2,145
4,317
9,732
8,687
3,474
8,614
6,381
3,284
7,528
4,531
4,375
3,301
6,547
5,239
7,637
1,207
5,391
1,211
4,324
2,192
6,640
9,773
9,833
5,514
4,396
1,82
7,532
4,380
5,573
7,647
3,423
6,560
5,286
4,562
9,756
8,816
2,350
9,919
1,198
3,-32
2,344
4,430
2,343
4,458
5,478
5,572
3,168
2,206
6,628
7,690
7,522
1,-56
2,149
7,642
2,251
2,388
5,625
4,323
7,716
1,123
3,404
4,273
4,538
1,82
6,507
1,41
4,463
9,823
2,311
7,704
5,379
9,1025
5,561
3,320
10,879
8,647
2,175
6,644
4,392
9,792
2,195
7,639
10,1096
9,870
9,571
7,357
4,452
2,33
3,304
9,878
7,749
2,458
10,814
6,547
3,198
5,342
5,345
3,476
7,787
6,435
3,443
8,716
6,649
4,288
2,298
5,530
2,153
9,754
5,450
9,821
4,581
5,676
6,723
9,882
2,355
5,322
2,215
9,956
8,793
5,363
7,699
6,574
7,621
9,712
10,957
2,187
6,475
9,814
5,509
3,498
2,382
7,398
3,430
4,496
5,501
7,776
10,1057
10,959
4,357
3,280
7,709
7,708
3,269
10,1059
8,929
3,404
5,749
2,328
6,498
6,682
3,530
2,180
3,133
5,631
2,-11
3,160
3,339
5,421
6,755
4,426
7,706
9,975
3,331
10,946
4,181
6,838
4,428
7,623
9,706
8,761
